N_nodes,N_Executors,NumberExecutorCores,Max_epochs,learning_rate,Batch_Size,Cost
1,4,4,1,0.01,256,"0.00434062749271, 0.00517745490107, 0.00551094044184, 0.00537726990973, 0.00488728711191, 0.00474097309271, 0.004628273918, 0.00493792933055, 0.00675787318608, 0.00540977947101"
4,4,4,1,0.01,64,"0.0153545258848, 0.00927700075519, 0.0144824949529, 0.0137628295825, 0.0155491971564, 0.0152943181587, 0.00883293338477, 0.0147309443313, 0.0118938496365, 0.0146852839499"
1,1,1,3,0.01,64,"0.0192209674786, 0.0196318486244, 0.0200341244033, 0.0197434073385, 0.0194796309723, 0.0196651889498, 0.0192617109203, 0.0194260993562, 0.019032039365,0.01913417109203"
4,1,1,3,0.01,256,"0.0111398413805, 0.0105131571073, 0.0107622608177, 0.0114587626735, 0.0107952546523, 0.0116202712708, 0.0111487575173, 0.0114313130818, 0.011367284445, 0.0115299027485"
1,4,1,3,0.01,256,"0.0113241575355, 0.0114124517982, 0.0119534723418, 0.0104365545554, 0.0110597223847, 0.0112485214634, 0.0118247815258, 0.0112850264174, 0.0109668316618, 0.01121686112"
4,4,1,3,0.01,64,"0.0370664594615, 0.0366463454889, 0.0360215547151, 0.0370952255313, 0.0357075824828, 0.03643039123, 0.036219802333, 0.0372103147942, 0.0370739375229, 0.0366463454889"
1,1,4,3,0.01,256,"0.00815109542546, 0.00796980920799, 0.00802635083364, 0.00832399473574, 0.00780989416009, 0.0084060548019, 0.00826397940051, 0.00811523354758, 0.00774004563624, 0.00804190309631"
4,1,4,3,0.01,64,"0.0176317332053, 0.0182902787185, 0.0181465961399, 0.0184006794837, 0.0187575905659, 0.0182545212138, 0.0183962717752, 0.0189079215929, 0.0182268560206, 0.0182902787185"
1,4,4,3,0.01,64,"0.0345650077623, 0.035067464406, 0.0347247720723, 0.0367593111711, 0.0363916588843, 0.03569165852, 0.0360840410242, 0.0358714215774, 0.0341207201602, 0.03569165852"
4,4,4,3,0.01,256,"0.0122100332772, 0.0113128324318, 0.00873794200302, 0.012733699722, 0.00854133938563, 0.0142249034119, 0.0138104537108, 0.00907326507148, 0.00801710548215, 0.0125843703014"
